/////////////////////////////////////////////////////////////////////////////
//Editor Cortesia de www.GamesBit.net
///////////////////////////
//Aporte de www.facebook.com/Arnold.DGD
///////////////////////////
//Archivo: 009 - Box of Kundun 3
/////////////////////////////////////////////////////////////////////////////
0
//EventName	DropZen	ItemDropRate	ItemDropCount	SetItemDropRate	ItemDropType	Fireworks
"Box of Kundun 3"	0	100	2	0	0	0
end

1
//Section	Type	MinLevel	MaxLevel	Skill	Luck	Option	Excellent	NameItem
0	31	0	1	1	1	0	1
0	16	0	1	1	1	0	1
0	34	0	1	1	1	0	1
0	18	0	1	1	1	0	1
2	11	0	1	1	1	0	1
4	16	0	1	1	1	0	1
5	16	0	1	1	1	0	1
5	11	0	1	1	1	0	1
5	9	0	1	0	1	0	1
6	15	0	1	1	1	0	1
7	16	0	1	0	1	0	1
8	16	0	1	0	1	0	1
9	16	0	1	0	1	0	1
10	16	0	1	0	1	0	1
11	16	0	1	0	1	0	1
7	18	0	1	0	1	0	1
8	18	0	1	0	1	0	1
9	18	0	1	0	1	0	1
10	18	0	1	0	1	0	1
11	18	0	1	0	1	0	1
7	19	0	1	0	1	0	1
8	19	0	1	0	1	0	1
9	19	0	1	0	1	0	1
10	19	0	1	0	1	0	1
11	19	0	1	0	1	0	1
8	15	0	1	0	1	0	1
9	15	0	1	0	1	0	1
10	15	0	1	0	1	0	1
11	15	0	1	0	1	0	1
7	41	0	1	0	1	0	1
8	41	0	1	0	1	0	1
9	41	0	1	0	1	0	1
10	41	0	1	0	1	0	1
11	41	0	1	0	1	0	1
7	60	0	1	0	1	0	1
8	60	0	1	0	1	0	1
9	60	0	1	0	1	0	1
11	60	0	1	0	1	0	1
end
2
//Section	Type	MinLevel	MaxLevel	Skill	Luck	Option	Excellent	SetOption	SocketOption	NameItem
end
